::ffff:127.0.0.1 - - [08/Sep/2020:05:19:34 +0000] "GET /cgi-bin/login.cgi?requestname=2&cmd=0 HTTP/1.1" 404 156 "-" "Python/3.7 aiohttp/3.6.2"
::ffff:127.0.0.1 - - [08/Sep/2020:06:33:03 +0000] "GET / HTTP/1.1" 200 61796 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:06:33:04 +0000] "GET /contact HTTP/1.1" 200 39599 "http://swiftbullhead.com/contact" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:06:33:04 +0000] "POST /contact HTTP/1.1" 302 30 "http://swiftbullhead.com/contact" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:06:33:05 +0000] "GET /contact HTTP/1.1" 200 39912 "http://swiftbullhead.com/contact" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:07:45:17 +0000] "GET / HTTP/1.1" 200 61796 "-" "-"
::ffff:127.0.0.1 - - [08/Sep/2020:07:45:42 +0000] "GET /sftp-config.json HTTP/1.1" 404 155 "-" "python-requests/2.22.0"
::ffff:127.0.0.1 - - [08/Sep/2020:09:20:59 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
::ffff:127.0.0.1 - - [08/Sep/2020:09:20:59 +0000] "GET /team-member/1 HTTP/1.1" 200 29004 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:57 +0000] "GET / HTTP/1.1" 200 61796 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 200 144877 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 200 1776 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
::ffff:127.0.0.1 - - [08/Sep/2020:09:21:58 +0000] "GET /web_assets/assets/css/slick-theme.css HTTP/1.1" 200 3294 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36"
