::ffff:127.0.0.1 - - [16/Dec/2020:04:36:45 +0000] "GET /new/.env HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:45 +0000] "GET /vendor/.env HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:45 +0000] "GET /old/.env HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:45 +0000] "GET /local/.env HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:45 +0000] "GET /api/.env HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:45 +0000] "GET /blog/.env HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:45 +0000] "GET /crm/.env HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:46 +0000] "GET /admin/.env HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:46 +0000] "GET /laravel/.env HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:46 +0000] "GET /app/.env HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:46 +0000] "GET /app/config/.env HTTP/1.1" 404 154 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
::ffff:127.0.0.1 - - [16/Dec/2020:04:36:46 +0000] "GET /apps/.env HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36"
