::ffff:127.0.0.1 - - [10/Jan/2021:04:39:06 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [10/Jan/2021:04:39:06 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:64.31.8.10 - - [10/Jan/2021:04:52:27 +0000] "GET http://example.com/ HTTP/1.1" 200 63275 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:17 +0000] "GET / HTTP/1.1" 200 63275 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:28 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:40 +0000] "GET /web_assets/assets/css/custom-2.css HTTP/1.1" 200 44748 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:45 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 200 1444 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:45 +0000] "GET /web_assets/assets/img/logo.png HTTP/1.1" 200 1310 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:45 +0000] "GET /web_assets/assets/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:45 +0000] "GET /web_assets/assets/js/material-form.js HTTP/1.1" 200 631 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:45 +0000] "GET /web_assets/assets/js/slick.min.js HTTP/1.1" 200 42863 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:50 +0000] "GET /web_assets/assets/css/responsive.css HTTP/1.1" 200 7186 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:54 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 200 144877 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:56:59 +0000] "GET /web_assets/assets/js/custom.js HTTP/1.1" 200 5717 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:57:04 +0000] "GET /web_assets/assets/css/slick-theme.css HTTP/1.1" 200 3294 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:57:12 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 200 2264 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:57:13 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 200 1776 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:57:13 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 200 89138 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:57:17 +0000] "GET /web_assets/assets/js/bootstrap.min.js HTTP/1.1" 200 48944 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:57:30 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
::ffff:127.0.0.1 - - [10/Jan/2021:04:57:30 +0000] "GET /get_worker_comp_nsurance HTTP/1.1" 200 52473 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
::ffff:127.0.0.1 - - [10/Jan/2021:05:58:14 +0000] "GET /web_assets/assets/img/green-img/icon-green-8.png HTTP/1.1" 200 3279 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [10/Jan/2021:05:58:18 +0000] "GET /web_assets/assets/img/green-img/icon-green-6.png HTTP/1.1" 200 6171 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
