::ffff:127.0.0.1 - - [17/Sep/2020:04:26:35 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [17/Sep/2020:04:31:57 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 404 161 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Sep/2020:04:40:14 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 62517 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Sep/2020:04:50:16 +0000] "GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> HTTP/1.1" 200 62517 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Sep/2020:04:57:44 +0000] "GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [17/Sep/2020:05:25:12 +0000] "GET / HTTP/1.1" 200 62517 "-" "-"
::ffff:127.0.0.1 - - [17/Sep/2020:05:49:30 +0000] "GET / HTTP/1.1" 200 62517 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [17/Sep/2020:06:13:20 +0000] "GET / HTTP/1.1" 200 62517 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0"
::ffff:127.0.0.1 - - [17/Sep/2020:06:18:44 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Googlebot-Image/1.0"
::ffff:127.0.0.1 - - [17/Sep/2020:06:35:00 +0000] "GET /blog-details/policy-review-request.htm HTTP/1.1" - - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [17/Sep/2020:06:41:37 +0000] "GET /blog-details/policy-review-request.htm HTTP/1.1" - - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
