::ffff:127.0.0.1 - - [13/Aug/2020:07:10:04 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:07:10:04 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:07:10:04 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:07:10:04 +0000] "GET / HTTP/1.1" 200 60386 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:07:10:05 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:07:10:05 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [13/Aug/2020:07:34:59 +0000] "GET / HTTP/1.1" 200 60386 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [13/Aug/2020:08:32:41 +0000] "GET /adminer_.php HTTP/1.1" 404 151 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
::ffff:127.0.0.1 - - [13/Aug/2020:08:48:17 +0000] "GET / HTTP/1.1" 200 60386 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [13/Aug/2020:08:48:17 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 200 144877 "http://swiftbullhead.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
