::ffff:209.17.96.2 - - [13/Mar/2020:03:20:47 +0000] "GET / HTTP/1.0" 200 83458 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:37 +0000] "GET /admin/contact_us_list HTTP/1.1" 302 70 "http://13.58.125.166:3000/admin/dashboard" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:37 +0000] "GET /admin/logout HTTP/1.1" 302 68 "http://13.58.125.166:3000/admin/dashboard" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:37 +0000] "GET /admin/login HTTP/1.1" 200 3424 "http://13.58.125.166:3000/admin/dashboard" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:38 +0000] "GET /admin_assets/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 404 201 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:38 +0000] "GET /admin_assets/js/adminlte.min.js HTTP/1.1" 404 170 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:39 +0000] "GET /admin_assets/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 56842 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:39 +0000] "GET /admin_assets/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:39 +0000] "GET /admin_assets/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:42 +0000] "GET /admin_assets/css/adminlte.min.css HTTP/1.1" 200 656504 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
::ffff:157.39.43.168 - - [13/Mar/2020:04:30:42 +0000] "GET /admin_assets/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75728 "http://13.58.125.166:3000/admin_assets/plugins/fontawesome-free/css/all.min.css" "Mozilla/5.0 (Linux; Android 9; SM-A730F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Mobile Safari/537.36"
